X;Y;OBJECTID;StationName;WXID;ObservedDate;NESSID;NWSID;Elevation;SiteDescription;Latitude;Longitude;State;County;Agency;Region;Unit;SubUnit;Status;RainAccumulation;WindSpeedMPH;WindDirDegrees;AirTempStandPlace;FuelTemp;RelativeHumidity;BatteryVoltage;FuelMoisture;WindDirPeak;WindSpeedPeak;SolarRadiation;StationID;MesoWestStationID;MesoWestURL
-119.61131;37.7300300000001;12;YNP PORTABLE;18053678;2024/02/08 20:02:04+00;32D3E21C;;3633;;37.73003;-119.61131;CA;Mariposa;NPS;PACIFIC WEST;YOSEMITE NP;;AU;.05 inches;0 mph;196 degrees;36 deg. F;35 deg. F;91%;12.9 volts;26.6 (unk);181 degrees;0 mph;39 w/m2;18053677;YNWC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=YNWC1&unit=0&timetype=GMT
-89.79556;30.6619400000001;15;BOGUE CHITTO;18770454;2024/02/08 20:12:44+00;32B108FA;227701;126;;30.66194;-89.79556;MS;Pearl River;FWS;REGION 4;BIG BRANCH NWR;SE La Refuges Comple;A;4.58 inches;4 mph;160 degrees;68 deg. F;71 deg. F;60%;NO DATA;11.5 (unk);166 degrees;9 mph;200 w/m2;18770452;BCCM6;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BCCM6&unit=0&timetype=GMT
-104.7195;44.5817900000001;43;DEVILS TOWER;17137191;2024/02/08 20:23:04+00;FA64F588;480606;3872;Devils Tower residence area;44.58179;-104.7195;WY;Crook;NPS;MIDWEST;DEVILS TOWER NM;NORTHERN GREAT PLAIN;A;.24 inches;0 mph;283 degrees;31 deg. F;33 deg. F;69%;14.2 volts;17.3 (unk);353 degrees;0 mph;126 w/m2;17137190;DVLW4;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=DVLW4&unit=0&timetype=GMT
-122.94511;39.80742;49;MENDOCINO PASS;17209649;2024/02/08 20:04:34+00;32715230;41018;5382;"SITE IS JUST NORTH OF MENDOCINO PASS. AREA IS IN A SMALL
CLEARING WITH THE MAST JUST ABOVE THE TREES.  STATION SITS
ON A SOUTH SLOPE 50 YDS OF 2 TRACK.";39.80742;-122.94511;CA;Mendocino;USFS;5;MENDOCINO NF;COVELO RD;A;8.73 inches;6 mph;110 degrees;34 deg. F;47 deg. F;100%;14.4 volts;18 (unk);116 degrees;10 mph;613 w/m2;17209642;MASC1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=MASC1&unit=0&timetype=GMT
-111.09911;44.6659700000001;59;HEBGEN LAKE;17036075;2024/02/08 19:39:34+00;323FC0E6;244603;6700;site is surrounded by lodgepole pine,vegitation is sparsegrass with barren sandy soil;44.66597;-111.09911;MT;Gallatin;USFS;1;Custer Gallatin NF;HEBGAN LAKE RD;A;1.93 inches;6 mph;212 degrees;28 deg. F;NO DATA;85%;13.4 volts;NO DATA;207 degrees;13 mph;68 w/m2;17036069;HBRM8;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=HBRM8&unit=0&timetype=GMT
-121.1977;44.9254800000001;90;MUTTON MOUNTAIN;16781366;2024/02/08 19:34:34+00;5211B19E;350917;4011;"SITE IS SITUATED IN A SMALL CLEARING WITHIN THE MUTTON MTN
RANGE OVERLOOKING A VALLEY TO THE SW. MUTTON MTN IS 2 MILES
TO THE W. MUTTON MTN SPRING IS 4 MILES TO THE NE. SHANIKO
BUTTE IS 4 MILES TO THE N. VEGETATION IS PINE W/SMALL SHRUBS
AREA BIA FREQS = S-172.425, R-171.775, CODE-4321";44.92548;-121.1977;OR;Wasco;BIA;Northwest;Warm Springs Agency;;A;2.43 inches;6 mph;258 degrees;34 deg. F;NO DATA;74%;14.2 volts;NO DATA;343 degrees;13 mph;341 w/m2;16781363;MMFO3;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=MMFO3&unit=0&timetype=GMT
-152.13611;69.3700000000001;109;UMIAT AIRFIELD;17475619;2024/02/08 18:23:55+00;326B17F6;500104;267;;69.37;-152.13611;AK;North Slope;BLM;R11 Alaska;ALASKA FIRE SERVICE;;D;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;17475619;UMTA2;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=UMTA2&unit=0&timetype=GMT
-112.23886;38.9792400000001;124;BLACK CEDAR;16945203;2024/02/08 19:27:04+00;323517DC;421805;6493;SITE LOCATED ON SSW SLOPE WITH JUNIPER,PINION PINE,GRASSAND SAGE. IS APPROX 3000' FROM MTN. TOP. MTNS. TO THE S ANDN 2-3 MILES.FIRE WEATHER FORECAST ZONE: 432;38.97924;-112.23886;UT;Millard;USFS;4;FISHLAKE NF;;A;7.15 inches;3 mph;294 degrees;36 deg. F;38 deg. F;75%;14 volts;17.6 (unk);274 degrees;9 mph;261 w/m2;16945200;BKCU1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BKCU1&unit=0&timetype=GMT
-76.617;40.4590000000001;135;INDIANTOWN RUN;19103245;2024/02/08 14:13:44+00;32A0FD1A;;710;;40.459;-76.617;PA;Lebanon;S&PF;PENNSYLVANIA;;;A;6.77 inches;2 mph;80 degrees;36 deg. F;36 deg. F;67%;14 volts;18.5 (unk);43 degrees;7 mph;161 w/m2;19103243;RUNP1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=RUNP1&unit=0&timetype=GMT
-116.1882;44.9429000000001;139;SKI HILL;16945977;2024/02/08 19:58:44+00;325E554C;101223;5297;FIRE WEATHER FORECAST ZONE:  401;44.9429;-116.1882;ID;Valley;USFS;4;PAYETTE NF;McCALL;A;9.12 inches;0 mph;297 degrees;34 deg. F;32 deg. F;80%;13.1 volts;27.3 (unk);262 degrees;0 mph;35 w/m2;16945974;SFFI1;https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SFFI1&unit=0&timetype=GMT
